objectid,área,nome,regiao_adm,area_plane,codbairro,codra,codbnum,link,rp,cod_rp,codbairro_long,st_areashape,st_perimetershape
400,824989.74072266,Maria da Graça            ,INHAUMA                 ,3,052,12,52,Maria da Graça            &area=52                ,Inhaúma,3.4,52,824991.934598462,4842.43570528686
401,4323794.68115234,Quintino Bocaiúva         ,MADUREIRA               ,3,079,15,79,Quintino Bocaiúva         &area=79                ,Madureira,3.3,79,4323806.27004187,11247.734947724
402,7869204.28027344,Jardim Sulacap            ,REALENGO                ,5,137,33,137,Jardim Sulacap            &area=137               ,Bangu,5.1,137,7869225.30882365,14519.3284239418
403,984510.43115234,Campinho                  ,MADUREIRA               ,3,078,15,78,Campinho                  &area=78                ,Madureira,3.3,78,984513.125077134,4818.48907521659
404,616332.65332031,Abolição                  ,MEIER                   ,3,070,13,70,Abolição                  &area=70                ,Méier,3.2,70,616334.280833198,4930.77663124055
405,6441769.125,Senador Vasconcelos       ,CAMPO GRANDE            ,5,145,18,145,Senador Vasconcelos       &area=145               ,Campo Grande,5.2,145,6441786.35056811,12846.8250855761
406,11261318.8930664,Cosmos                    ,CAMPO GRANDE            ,5,147,18,147,Cosmos                    &area=147               ,Campo Grande,5.2,147,11261348.9744423,17686.7491414717
407,943874.10644531,Jacarezinho               ,JACAREZINHO             ,3,155,28,155,Jacarezinho               &area=155               ,Méier,3.2,155,943876.623960936,6319.11486441202
408,2250159.74560547,Cachambi                  ,MEIER                   ,3,065,13,65,Cachambi                  &area=65                ,Méier,3.2,65,2250165.81273565,8081.75610044875
409,6499977.50927734,Praça Seca                ,JACAREPAGUA             ,4,124,16,124,Praça Seca                &area=124               ,Jacarepaguá,4.1,124,6499994.8233109,11438.6884120895
410,1736412.80761719,Benfica                   ,SAO CRISTOVAO           ,1,012,7,12,Benfica                   &area=12                ,Centro,1.1,12,1736417.43740785,9097.9904086429
411,3920440.57421875,Engenho de Dentro         ,MEIER                   ,3,066,13,66,Engenho de Dentro         &area=66                ,Méier,3.2,66,3920451.00448515,11905.9881465636
412,4105643.88916016,São Cristóvão             ,SAO CRISTOVAO           ,1,010,7,10,São Cristóvão             &area=10                ,Centro,1.1,10,4105654.8523132,14129.085003761
413,863074.53808594,Vasco da Gama             ,SAO CRISTOVAO           ,1,158,7,158,Vasco da Gama             &area=158               ,Centro,1.1,158,863076.834316144,4349.9829054857
414,8287883.10449219,Inhoaíba                  ,CAMPO GRANDE            ,5,146,18,146,Inhoaíba                  &area=146               ,Campo Grande,5.2,146,8287905.19958888,15356.8850050675
415,1012635.96728516,Todos os Santos           ,MEIER                   ,3,064,13,64,Todos os Santos           &area=64                ,Méier,3.2,64,1012638.67142435,6163.38813011552
416,842565.64208984,Jacaré                    ,MEIER                   ,3,051,13,51,Jacaré                    &area=51                ,Méier,3.2,51,842567.884169913,6809.03087217511
417,1060146.17480469,Encantado                 ,MEIER                   ,3,068,13,68,Encantado                 &area=68                ,Méier,3.2,68,1060149.02244419,5995.55499549677
418,1311625.60009766,Rocha                     ,MEIER                   ,3,058,13,58,Rocha                     &area=58                ,Méier,3.2,58,1311629.11451413,5717.94171897523
419,2470933.15234375,Méier                     ,MEIER                   ,3,063,13,63,Méier                     &area=63                ,Méier,3.2,63,2470939.76895908,9836.6512340584
420,1112902.74121094,Gamboa                    ,PORTUARIA               ,1,002,1,2,Gamboa                    &area=2                 ,Centro,1.1,2,1112905.72050921,4612.83363044584
421,1684720.66113281,Santo Cristo              ,PORTUARIA               ,1,003,1,3,Santo Cristo              &area=3                 ,Centro,1.1,3,1684725.17699493,6743.22788487282
422,5424739.1953125,Centro                    ,CENTRO                  ,1,005,2,5,Centro                    &area=5                 ,Centro,1.1,5,5424753.71225793,22846.2448060092
423,884408.47705078,Sampaio                   ,MEIER                   ,3,060,13,60,Sampaio                   &area=60                ,Méier,3.2,60,884410.837998252,5793.72207788203
424,928108.49707031,Riachuelo                 ,MEIER                   ,3,059,13,59,Riachuelo                 &area=59                ,Méier,3.2,59,928110.984474532,5342.53695888959
425,363817.62255859,Saúde                     ,PORTUARIA               ,1,001,1,1,Saúde                     &area=1                 ,Centro,1.1,1,363818.583960534,2646.22056769347
426,648907.60009766,São Francisco Xavier      ,MEIER                   ,3,057,13,57,São Francisco Xavier      &area=57                ,Méier,3.2,57,648909.349749173,5462.17426991829
427,2644847.10009766,Engenho Novo              ,MEIER                   ,3,061,13,61,Engenho Novo              &area=61                ,Méier,3.2,61,2644854.14701814,10595.6892426929
428,798128.92089844,Mangueira                 ,SAO CRISTOVAO           ,1,011,7,11,Mangueira                 &area=11                ,Centro,1.1,11,798131.050532149,4489.00969205913
429,5567990.09863281,Tanque                    ,JACAREPAGUA             ,4,123,16,123,Tanque                    &area=123               ,Jacarepaguá,4.1,123,5568004.96228391,15382.4619820578
430,13206630.0966797,Taquara                   ,JACAREPAGUA             ,4,122,16,122,Taquara                   &area=122               ,Jacarepaguá,4.1,122,13206665.3174263,22254.6902935559
431,2426231.83935547,Água Santa                ,MEIER                   ,3,067,13,67,Água Santa                &area=67                ,Méier,3.2,67,2426238.34167759,6751.46940726946
432,2669197.55273438,Lins de Vasconcelos       ,MEIER                   ,3,062,13,62,Lins de Vasconcelos       &area=62                ,Méier,3.2,62,2669204.70828791,9532.64928563298
433,10328406.1118164,Freguesia (Jacarepaguá)   ,JACAREPAGUA             ,4,120,16,120,Freguesia (Jacarepaguá)   &area=120               ,Jacarepaguá,4.1,120,10328433.6054947,17756.8014444041
434,934852.88378906,Cidade Nova               ,RIO COMPRIDO            ,1,008,3,8,Cidade Nova               &area=8                 ,Centro,1.1,8,934855.375459832,4790.11644919017
435,719909.69824219,Praça da Bandeira         ,TIJUCA                  ,2,032,8,32,Praça da Bandeira         &area=32                ,Tijuca,2.2,32,719911.629995197,4727.31258176158
436,3217125.90039063,Vila Isabel               ,VILA ISABEL             ,2,036,9,36,Vila Isabel               &area=36                ,Tijuca,2.2,36,3217134.51803647,9014.57768191261
437,1667302.203125,Maracanã                  ,VILA ISABEL             ,2,035,9,35,Maracanã                  &area=35                ,Tijuca,2.2,35,1667306.66727362,8473.32658541025
438,1140065.48193359,Glória                    ,BOTAFOGO                ,2,016,4,16,Glória                    &area=16                ,Zona Sul,2.1,16,1140068.54175235,7225.2481070283
439,3342510.64160156,Rio Comprido              ,RIO COMPRIDO            ,1,007,3,7,Rio Comprido              &area=7                 ,Centro,1.1,7,3342519.56022305,12681.0792577535
440,5157128.51367188,Santa Teresa              ,SANTA TEREZA            ,1,014,23,14,Santa Teresa              &area=14                ,Centro,1.1,14,5157142.20290397,27344.8411046267
